title,artist,album,year,duration,tags
Deep End,Fousheé,Deep End,2020,141269,Recurrent 1
Love You Now,Cash Cash/Georgia Ku,Love You Now (feat. Georgia Ku),2020,175821,Recurrent 1
Take You To Hell,Ava Max,Heaven & Hell,2020,164583,TOP
"Baby, I'm Jealous",Bebe Rexha/Doja Cat,"Baby, I'm Jealous (feat. Doja Cat)",2020,175919,Current
Bet You Wanna,BLACKPINK/Cardi B,THE ALBUM,2020,159219,TOP
H.E.A.V.E.N,Ava Max,Heaven & Hell,2020,106229,Recurrent 1
Space,Becky Hill,Space,2020,197595,TOP
Daisy,Ashnikko,Daisy,2020,146569,TOP
Never Forget You,Zara Larsson/MNEK,So Good,2017,213473,Recurrent 1
WOW,Zara Larsson,WOW,2019,179721,TOP
Thief,Ansel Elgort,Thief,2017,220726,Recurrent 1
FRANCHISE - REMIX,Travis Scott/Future/Young Thug/M.I.A.,"FRANCHISE (feat. Future, Young Thug & M.I.A.) [REMIX]",2020,207440,Bonus
Alien - Topic Remix,Dennis Lloyd/Topic,Alien (Topic Remix),2020,159973,Mix
Ahol a város őrzi a Dunát,Keresztes Ildikó,Budapest Dal 2018,2018,231026,Magyar
Levitating,Dua Lipa,Future Nostalgia,2020,203853,P1
Magic,Kylie Minogue,Magic,2020,250726,TOP
Numb,Elderbrook,Numb,2020,230086,Featured
Follow,Klangkarussell/GIVVEN,Follow,2020,212746,TOP
One Too Many,Keith Urban/P!nk,One Too Many,2020,203939,Current
you broke me first - Luca Schreiner Remix,Tate McRae/Luca Schreiner,you broke me first (Luca Schreiner Remix),2020,192330,Mix
At Least I Had Fun,Martin Jensen/RANI,At Least I Had Fun,2020,170659,Current
you broke me first,Tate McRae,you broke me first,2020,169311,Current
Loose,S1mba/KSI,Loose (feat. KSI),2020,152482,Recurrent 1
Bad Boy - Torren Foot Remix,Yung Bae/Torren Foot/bbno$,Bad Boy (feat. bbno$) [Torren Foot Remix],2020,158004,Mix
Gecko (Overdrive),Oliver Heldens/Becky Hill,Gecko (Overdrive),2014,165486,Recurrent 2
Boys Ain't Shit - Joe Stone Remix,SAYGRACE/Joe Stone,Boys Ain't Shit,2020,167586,Mix
Higher Ground,Martin Garrix/John Martin,Higher Ground (feat. John Martin),2020,206325,TOP
Used To Love - Bart B More Remix,Martin Garrix/Dean Lewis/Bart B More,2019 Remixed,2019,178617,Mix
Holy,Justin Bieber/Chance the Rapper,Holy,2020,212139,Current
Naked,Ava Max,Heaven & Hell,2020,222140,Recurrent 1
Back To My Bed,Elderbrook,Back To My Bed,2020,202152,TOP
Too Many Nights,220 KID/JC Stewart,Too Many Nights,2020,188615,Current
Me x 7,Alicia Keys/Tierra Whack,ALICIA,2020,213019,TOP
What Love Is,Tom Gregory,Heaven in a World so Cold,2020,194332,Current
Diamonds,Sam Smith,Diamonds,2020,213915,Current
Hot Stuff,Kygo/Donna Summer,Hot Stuff,2020,199053,Current
Blueberry Eyes,MAX/SUGA,Blueberry Eyes (feat. SUGA of BTS),2020,172290,Current
OK Not To Be OK,Marshmello/Demi Lovato,,2020,160914,Current
Blinded By Your Grace Pt. 2,STORMZY/MNEK,,2017,230759,Recurrent 2
Oh My Gawd,Mr Eazi/Major Lazer/Nicki Minaj/Diplo/K4mo,Oh My Gawd (feat. Nicki Minaj & K4mo),2020,180046,Bonus
Let's Love,David Guetta/Sia,Let's Love,2020,200691,Current
Godspeed,James Blake,Godspeed,2020,173886,Recurrent 2
Love Looks Better,Alicia Keys,Love Looks Better,2020,203366,Featured
Don Don,Daddy Yankee/Anuel AA/Kendo Kaponi,Don Don,2020,275939,Bonus
Bad Habits,Usher,Bad Habits,2020,257295,TOP
TiK ToK,Olympis/Helion/LIINII,TiK ToK (feat. Liinii),2020,146216,Mix
Bruises - Steve Void Remix,Lewis Capaldi/Steve Void,Bruises EP,2019,212326,Mix;Recurrent 1
Never Can Say Goodbye,The Communards,Red,1987,285112,Gold
exile,Taylor Swift/Bon Iver,folklore,2020,285680,Recurrent 1;Ritka
SAD - Imanbek xxx Remix,Rasster/Imanbek,SAD (Imanbek xxx Remix),2020,174766,TOP
Summer On You,Sam Feldt/Lucas & Steve/Wulf,Summer On You (feat. Wulf),2016,160054,Nyár;Recurrent 2
Echalo Pa' Ca,Sofia Reyes/Darell/Lalo Ebratt,Echalo Pa' Ca,2020,222957,Recurrent 1;Ritka
Lasting Lover,Sigala/James Arthur,Lasting Lover,2020,218404,Current
Lie for You,Snakehips/Jess Glynne/A Boogie Wit da Hoodie/DaVido/Frizzo,Lie for You (feat. A Boogie Wit Da Hoodie & Davido) [Frizzo Remix],2020,214297,Current
Tap In,Saweetie/Post Malone/DaBaby/Jack Harlow,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",2020,253614,Recurrent 1
Love Story,Nadia Ali,Embers,,245541,Bonus;Ritka
Better Than This,Paloma Faith,Better Than This,2020,207612,Recurrent 1
Beautiful Madness,Michael Patrick Kelly,Beautiful Madness,2020,175451,Current
Perfect Love,Lutricia McNeal,Metroplex,2002,206792,Bonus
Home,Lush & Simon/OOVEE/EZEE,Home,2017,236886,Recurrent 1;Ritka
7 Summers,Morgan Wallen,7 Summers,2020,210168,Nyár;Recurrent 1;Ritka
Domino,Jessie J,Who You Are (Platinum Edition),2011,231886,Bonus
Afterlife,iamnotshane,iamnotshane,2020,202459,Recurrent 1
Tucked,Katy Perry,Smile,2020,187482,Recurrent 1
By Any Means,Jorja Smith,By Any Means,2020,225677,TOP
Shipwreck,Klangkarussell,Shipwreck / My World,2020,243102,TOP
I Like It,Enrique Iglesias/Pitbull,Euphoria,2010,231419,Bonus;Ritka
I'm A Freak,Enrique Iglesias/Pitbull,I'm A Freak,2013,218739,Bonus
Alien,Dennis Lloyd,Alien,2020,138684,Current
Giants,Dermot Kennedy,Giants,2020,177219,Featured
Shy Guy,Diana King,Tougher Than Love,1995,258606,Gold
Douha (Mali Mali),Disclosure/Fatoumata Diawara,ENERGY (Deluxe),2020,294591,TOP
VIDA LOCA,Black Eyed Peas/Nicky Jam/Tyga,TRANSLATION,2020,234420,Bonus
What You Want,Blinkie,What You Want / What You Do,2020,240102,TOP
Do It [Remix],Chloe x Halle/Doja Cat/City Girls/Mulatto,"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]",2020,255226,TOP
Stunnin',Curtis Waters/Harm Franklin,Stunnin' (feat. Harm Franklin),2020,144046,TOP
Ladida (My Heart Goes Boom),CRISPIE/ILIRA,Ladida (My Heart Goes Boom),2020,173379,TOP
OMG What's Happening,Ava Max,OMG What's Happening,2020,179861,TOP
Problem,Ariana Grande/Iggy Azalea,My Everything (Deluxe),2014,193886,Bonus
"The Plan - From the Motion Picture ""TENET""",Travis Scott,"The Plan (From the Motion Picture ""TENET"")",2020,185896,Bonus
Laugh Now Cry Later,Drake/Lil Durk,Laugh Now Cry Later (feat. Lil Durk),2020,261538,Bonus
WAP,Cardi B/Megan Thee Stallion,WAP (feat. Megan Thee Stallion),2020,187587,P1
Coffee (Give Me Something),Tiësto/Vintage Culture,Coffee (Give Me Something),2020,189723,TOP
Mood,24kGoldn/iann dior,Mood (feat. Iann Dior),2020,140571,TOP
Why Do You Lie To Me,Topic/A7S/Lil Baby,Why Do You Lie To Me (feat. Lil Baby),2020,176030,Current
Over Now,Calvin Harris/The Weeknd,Over Now (with The Weeknd),2020,210841,Recurrent 1
Ice Cream,BLACKPINK/Selena Gomez,Ice Cream (with Selena Gomez),2020,175859,Bonus
Come Over,Rudimental/Anne-Marie/Tion Wayne,Come Over (feat. Anne-Marie & Tion Wayne),2020,206703,Current
Ain't It Different,Headie One/AJ Tracey/Stormzy,Ain't It Different (feat. AJ Tracey & Stormzy),2020,196409,Bonus
Physical [Mixed],Dua Lipa/The Blessed Madonna/Gwen Stefani/Mark Ronson,Club Future Nostalgia (DJ Mix),2020,159779,
Falling For You with Justin Bieber,Jaden/Justin Bieber,CTV3: Cool Tape Vol. 3,2020,222763,Recurrent 1;Ritka
Control,Zoe Wees,,2020,232269,Current
Tavasz,Follow The Flow,,2020,196464,Magyar
Hypnotized,Purple Disco Machine/Sophie and the Giants,,2020,195704,Current
Nem érdekel,Deniz x Orsovai Reni,,2020,195883,Magyar;TOP
Love Again,Dua Lipa,,2020,258089,TOP
Conversations In The Dark,John Legend vs. David Guetta,,2020,210236,Current
Post Malone (feat. RANI) - Joe Stone Remix,"Sam Feldt, RANI, Joe Stone",Post Malone (feat. RANI) [Joe Stone Remix],,173383,Mix
Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),,242068,Mix
Promises (with Sam Smith) - David Guetta Remix,"Calvin Harris, Sam Smith, David Guetta",Promises (with Sam Smith) [Remixes],,190450,Mix
This City - Frank Walker Remix,"Sam Fischer, Frank Walker",This City (Frank Walker Remix),,170271,Mix
This Is Real - Jax Jones Midnight Snack Remix,"Jax Jones, Ella Henderson",Midnight Snacks (Part 1),,219800,Mix
Tequila - Jax Jones & Martin Solveig Present Europa,"Jax Jones, Martin Solveig, RAYE, Europa",Snacks (Supersize),,211022,Mix
Turn Me On (feat. Vula) - Marshall Jefferson Anthem Mix,"Riton, Oliver Heldens, Vula, Marshall Jefferson",Turn Me On (feat. Vula) [Marshall Jefferson Anthem Mix],,208074,Mix
Woman Like Me - Wideboys Remix,"Little Mix, Wideboys",Woman Like Me (Wideboys Remix),,173360,Mix
Truth Hurts - CID Remix,"Lizzo, CID",Truth Hurts (CID Remix),,178259,Mix
Stay - Jonas Blue Remix,"Zedd, Alessia Cara, Jonas Blue",Stay (Remixes),,266402,Mix
Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,"Lennon Stella, Charlie Puth",Summer Feelings (feat. Charlie Puth),,160357,Mix
Rain On Me - Purple Disco Machine Remix - Edit,"Lady Gaga, Ariana Grande, Purple Disco Machine",Rain On Me (Purple Disco Machine Remix),,238097,Mix
Sun Comes Up - OFFAIAH Remix,"Rudimental, James Arthur, OFFAIAH",Sun Comes Up (OFFAIAH Remix),,193468,Mix
Whoppa (feat. Sofia Reyes and Farina),"Tinie Tempah, Sofia Reyes, Farina",Whoppa (feat. Sofia Reyes and Farina),,217385,Mix
Say So - Friend Within Remix,"Doja Cat, Friend Within",Say So (Friend Within Remix),,172849,Mix
Where Are Ü Now (with Justin Bieber) - Kaskade Remix,"Jack Ü, Skrillex, Diplo, Justin Bieber, Kaskade",Where Are Ü Now (with Justin Bieber) [Remixes],,306712,Mix
Silence - Tiësto's Big Room Remix,"Marshmello, Khalid, Tiësto",Silence (Tiësto's Big Room Remix),,202199,Mix
Ride It - Jonas Blue Remix,"Regard, Jonas Blue",Ride It (Jonas Blue Remix),,182462,Mix
Perfect Strangers - Gregor Salto Remix,"Jonas Blue, JP Cooper, Gregor Salto",Perfect Strangers (Remixes),,240605,Mix
Dancing In The Moonlight - Jack Wins Remix,"Jubël, NEIMY, Jack Wins",Dancing In The Moonlight (Jack Wins Remix),,160635,Mix
Lonely - Tobtok Remix,"Joel Corry, Tobtok",Lonely (The Remixes),,193607,Mix
God Is A Dancer - James Hype Remix,"Tiësto, Mabel, James Hype",God Is A Dancer (Remixes),,173708,Mix
Beautiful People (feat. Khalid) - Jack Wins Remix,"Ed Sheeran, Khalid, Jack Wins",Beautiful People (feat. Khalid) [Jack Wins Remix],,163096,Mix
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,"Ed Sheeran, Chance the Rapper, PnB Rock, M-22",Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],,207957,Mix
Don't Start Now - Regard Remix,"Dua Lipa, Regard",Don't Start Now (Regard Remix),,188638,Mix
Don't Start Now - Purple Disco Machine Remix,"Dua Lipa, Purple Disco Machine",Don't Start Now (Remixes),,216827,Mix
